plot_id  | movie_id | contents
11|tt0848228|After Loki steals the infinitely powerful Tesseract from Nick Fury, the director of S.H.I.E.L.D. puts together the group that hes had in the works for years. Gathering Iron Man, The Hulk, Thor, Captain America, Hawkeye and Black Widow, the team of Lost Creatures takes on Loki and his army to save the world.
12|tt0468569|Batman raises the stakes in his war on crime. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the city streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as The Joker.
13|tt0468569|Set within a year after the events of Batman Begins, Batman, Lieutenant James Gordon, and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham, creating a new wave of chaos. Batmans struggle against the Joker becomes deeply personal, forcing him to confront everything he believes and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent and Rachel Dawes.
14|tt0468569|The follow-up to Batman Begins, The Dark Knight reunites director Christopher Nolan and star Christian Bale, who reprises the role of Batman/Bruce Wayne in his continuing war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to destroy organized crime in Gotham for good. The triumvirate proves effective. But soon the three find themselves prey to a rising criminal mastermind known as The Joker, who thrusts Gotham into anarchy and forces Batman closer to crossing the fine line between hero and vigilante.
15|tt0468569|Gothams new district attorney has been elected. His name is Harvey Dent, and he has a radical new agenda that threatens to take down Gothams organized crime underworld once and for all with an iron fist. But the emergence of the rogue vigilante known as Batman has caused problems for Dent and his agenda. A new criminal mastermind known only as The Joker has arrived and aims to take Gotham out from under Harvey Dents iron fist. The Joker stages a masterfully planned bank robbery and robs the Gotham mob blind. He uses this money to stage a series of horrific and strategic attacks against the city and its people - each one carefully planned and aimed at Dent and Batman while causing the rest of the city to enter panic mode. Meanwhile, Batman thinks he might have found a lead to The Joker thanks to Wayne Enterprises dealings with a shady Chinese banker, and that takes Batman and Alfred to Hong Kong. The Joker has no rules, but Batman has only one, and the Joker aims to make Batman break his only rule. But who will be the one to take him out - will it be rogue vigilante Batman or will it be elected official Harvey Dent, the new hero with a face?
16|tt0468569|With just one year having passed after taking out Ras Al Ghuls plan to have Gotham eliminated and the mysterious disappearance of Dr. Jonathan Crane AKA the Scarecrow, and after the city was nearly plundered with his toxins, Bruce Wayne and his vigilante alter-ego the Batman, continue the seemingly endless effort to bring order to Gotham, with the help of Lt. James Gordon and newly appointed District Attorney Harvey Dent. But a new threat has now emerged into the streets. The Dark Knight faces a rising psychopathic criminal called The Joker, whose eerie grin, laughter, and inhuman morality makes him as dangerous than what he has yet to unleash. It becomes an agenda to Batman to stop the mysterious Joker at all costs, knowing that both of them are in an opposite line. One has no method at all and seeks to see the world plunge into the fire he has yet to light. One represents the symbol of hope and uses his own shadow to bring the peace and order he has yet to accomplish doing.
17|tt0120915|The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And whats so special about this young boy?
18|tt0120915|When the evil Trade Federation plots to take over the peaceful planet of Naboo, Jedi warrior Qui-Gon Jinn and his apprentice Obi-Wan Kenobi embark on an amazing adventure to save the planet. With them on their journey is the young Queen Amidala, Gungan outcast Jar Jar Binks, and the powerful Captain Panaka, who will all travel to the faraway planets of Tatooine and Coruscant in a futile attempt to save their world from Darth Sidious, leader of the Trade Federation, and Darth Maul, the strongest Dark Lord of the Sith to ever wield a lightsaber.
19|tt0120915|As imminent conflict brews between the powerful Trade Federation and the peaceful planet of Naboo, Jedi Master Qui-Gon Jinn and his apprentice Obi-Wan Kenobi travel to Naboo to warn the Queen of the galactic fallout which is to follow. Eventually, Naboo is invaded forcing the Jedi to evacuate the planet with the Queen and her court. They travel to the desert planet of Tatooine where they meet a slave boy named Anakin Skywalker who is evidently one with the Force. They enlist his help in fighting the war, while the Jedi confront one of the Dark Jedi behind the invasion, Darth Maul, while his master Darth Sidious continues to lead the invasion as a phantom behind the scenes.
20|tt0120915|It is a distant galaxy eons before the gestation of the planet Earth. Advancements in technology and science have allowed the evolution of millions of worlds that are otherwise in many respects still primitive. These worlds are somewhat loosely allied into an intergalactic Republic, whose capital world is the planet Coruscant, a planetary city. Upholding order for the Republic are the Jedi, an order of warriors endowed with near-super power derived from self-generated fields of energy known collectively as the Force. Within the Republic, dissident worlds have banded into an alliance known as the Trade Federation, and the Trade Federation is locked in a dispute with the peaceful world of Naboo. Two Jedi Knights, Qui-Gon Jinn and his youthful apprentice, Obi-Wan Kenobi, have been sent to Naboo to help mediate an end to the dispute, but Nute Gunray, an alien viceroy, orders them to be killed, and the two Jedi discover upon their escape that the Trade Federation will launch an invasion of Naboo. With the help of a well-meaning but hopelessly subliterate alien native of Naboo, Qui-Gon and Obi-Wan land on Naboo to rescue her ruler, Queen Amidala, a ruler whose rule is a mixture of monarchy and republican democracy. Escaping Naboo, they are attacked by a Federation baseship and are forced to land on the distant planet Tatooine, where in seeking parts to complete their journey to Coruscant they encounter a young boy, Anakin Skywalker, a slave who possesses a gift for the savagely dangerous sport of podracing - a gift that Qui-Gon deduces is part of a genetic makeup perfect for the Jedi Order. Anakin eventually joins with Qui-Gon and Obi-Wan, and in the process attracts the attention of one of Queen Amidalas handmaidens with a dramatic secret, and all reach Coruscant, but endless and pointless debate within the Republics Senate leave them no choice but to strike out on their own to liberate Naboo, a task made all the more difficult because a traitor within Coruscant has at his command a dissident Jedi warrior who seeks the death of Qui-Gon and Obi-Wan.
21|tt0076759|Part IV in George Lucas epic, Star Wars: A New Hope opens with a Rebel ship being boarded by the tyrannical Darth Vader. The plot then follows the life of a simple farm boy, Luke Skywalker, as he and his newly met allies (Han Solo, Chewbacca, Obi-Wan Kenobi, C-3PO, R2-D2) attempt to rescue a Rebel leader, Princess Leia, from the clutches of the Empire. The conclusion is culminated as the Rebels, including Skywalker and flying ace Wedge Antilles make an attack on the Empires most powerful and ominous weapon, the Death Star.
22|tt0076759|Luke Skywalker stays with his foster aunt and uncle on a farm on Tatooine. He is desperate to get off this planet and get to the Academy like his friends, but his uncle needs him for the next harvest. Meanwhile, an evil emperor has taken over the galaxy, and has constructed a formidable Death Star capable of destroying whole planets. Princess Leia, a leader in the resistance movement, acquires plans of the Death Star, places them in R2-D2, a droid, and sends him off to find Obi-Wan Kenobi. Before he finds him, R2-D2 ends up on the Skywalkers farm with his friend C-3PO. R2-D2 then wanders into the desert, and when Luke follows, they eventually come across Obi-Wan. Will Luke, Obi-Wan and the two droids be able to destroy the Death Star, or will the Emperor rule forever?
23|tt0076759|Princess Leia is held hostage by the evil forces of the Galactic Empire in their effort to take over the galaxy. Venturesome Luke Skywalker and dashing Captain Han Solo team together with the lovable robotic duo, R2-D2 and C-3PO, to rescue the beautiful princess and restore justice in the galaxy.
24|tt0076759|In a distant galaxy eons before the creation of the mythical planet known as Earth, vast civilizations have evolved, and ruling the galaxy is an interstellar Empire created from the ruins of an Old Republic that held sway for generations. It is a time of civil war, as solar systems have broken away from the Empire and are waging a war of rebellion. During a recent battle, technical schematics for a gigantic space station, code named the Death Star, have been unearthed by Rebel spies, and a young woman who is a dissident member of the Imperial Senate, under the cover of a diplomatic mission to the planet Alderaan, is trying to smuggle these plans to the Rebellion. But her spacecraft is attacked by a vast warship of the Empire and seized. The dissident Senator is captured, but the plans for the Death Star are nowhere to be found. While soldiers of the Empire search the nearby planet Tatooine, a series of incidents sweeps up a young desert farmer with dreams of being a fighter pilot in the Rebellion, as he winds up with the Death Star plans and also the assistance of an elderly hermit who once served as a warrior of an ancient order whose chosen weapons were powerful energy swords known as lightsabers. The pair recruit a cynical interstellar smuggler and his outsized alien copilot with an ancient freighter heavily modified for combat to help them reach Alderaan - but the planet is obliterated and now the foursome must rescue the young woman held prisoner by the Empire and lead an attack by the Rebellion against the Death Star before it can annihilate all hope of restoring freedom to the galaxy.
25|tt1345836|Despite his tarnished reputation after the events of The Dark Knight, in which he took the rap for Dents crimes, Batman feels compelled to intervene to assist the city and its police force which is struggling to cope with Banes plans to destroy the city.
26|tt1345836|8 years after the events of The Dark Knight find Gotham at a time of peace. This is due to Batman taking the fall for Harvey Dents murder. However, a new evil force named Bane has arrived in Gotham and aims to take over the city and expose the truth behind who Harvey Dent really was. Now that Wayne Manor has been completely rebuilt - Bruce Wayne has become almost reclusive, rarely leaving the estate. And with Bane taking over the city by force, it forces Batman to come out of retirement. But his allies are few and far apart. An elusive jewel thief by the name of Selina Kyle could be the key to stopping Bane - but whose side is she on?
27|tt0298148|Shrek has rescued Princess Fiona, got married, and now is time to meet the parents. Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fionas mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and theres tension in the marriage. Its not just the family who are unhappy. Prince Charming returns from a failed attempt at rescuing Fiona, and works alongside his mother, the Fairy Godmother, to try and find a way to get Shrek away from Fiona.
28|tt0298148|The film picks up right where the first movie ended... Shrek and Fiona return from their honeymoon to find a letter from Fionas parents inviting the newlyweds over for dinner. The only problem is that they have no idea that their daughter is now an ogre.
29|tt0298148|Right after their honeymoon the newly wed couple goes to Princess Fionas parents for dinner. When a Fairy Godmother discovers Fiona and Shrek are married she reminds the king about a deal they agreed on years ago that Fiona should have married Prince Charming (her son). The king then hires a cat named Puss-in-Boots (a sword fighting cat and ogre slayer) to kill Shrek.
30|tt0083866|While visiting the Earth at Night, a group of alien botanists is discovered and disturbed by an approaching human task force. Because of the more than hasty take-off, one of the visitors is left behind. The little alien finds himself all alone on a very strange planet. Fortunately, the extra-terrestrial soon finds a friend and emotional companion in 10-year-old Elliot, who discovered him looking for food in his familys garden shed. While E.T. slowly gets acquainted with Elliots brother Michael, his sister Gertie as well as with Earth customs, members of the task force work day and night to track down the whereabouts of Earths first visitor from Outer Space. The wish to go home again is strong in E.T., and after being able to communicate with Elliot and the others, E.T. starts building an improvised device to send a message home for his folks to come and pick him up. But before long, E.T. gets seriously sick, and because of his special connection to Elliot, the young boy suffers, too. The situation gets critical when the task force finally intervenes. By then, all help may already be too late, and theres no alien spaceship in sight.
31|tt0083866|A group of aliens visit earth and one of them is lost and left behind stranded on this planet. The alien is found by a 10 year old boy, Elliot. Soon the two begin to communicate, and start a different kind of friendship in which E.T learns about life on earth and Elliot learns about some new values for the true meaning of friendship. E.T. wants to go home, but if Elliot helps him, hell lose a friend...
32|tt0383574|Once again were plunged into the world of sword fights and savvy pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the locker Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If thats not complicated enough, Will and Elizabeth are sentenced to hang, unless will can get Lord Cutler Beckett Jacks compass, Will is forced to join another crazy adventure with Jack.
33|tt0383574|Once again thrown into the world of the supernatural, Captain Jack Sparrow finds out that he owes a blood debt to the legendary Davey Jones, Captain of the ghostly Flying Dutchman. With time running out, Jack must find a way out of his debt or else be doomed to eternal damnation and servitude in the afterlife. And as if this werent enough, Will Turner and Elizabeth Swann are arrested and sentenced to death unless Will can get Lord Beckett Jacks compass, who are forced to join Jack on yet another misadventure.
34|tt0383574|Legend has it that a tortured soul called Davy Jones lives beneath the sea with a terrible sea beast at his command. Unfortunately for the notorious pirate, Captain Jack Sparrow, this particular legend is very real. Years ago, Jack made a deal with Davy Jones, who is now expecting him to make good on his promise by handing himself over to Joness servitude. But Jack will not give in without a fight, which is especially bad news for Will Turner and Elizabeth Swann, who always seem to get caught up in Jacks mishaps. If Jack cant find a way to rid himself of Davy Jones once and for all, it may just spell the end for the three adventurers
35|tt0383574|Picking up where the first movie left off, Will Turner and Elizabeth Swan are to be married. However this is interrupted when both are arrested for aiding in the notorious Captain Jack Sparrows escape. The new captain, Beckett, will lift all charges, if Will can hunt down Jack and bring him back to Beckett, along with his magic compass. However, Jack has other problems. Years ago, he made a deal with Davy Jones to raise the Black Pearl. Time is up. His part of the deal was to give Davy Jones his soul. Once Will finds Jack, unaware of the current situation, Jack coaxes Will into boarding Davy Joness ship, the Flying Dutchman, and retrieve a mysterious key. This key opens the chest that contains Davy Joness secret. With it, you can control Davy Jones and his fearsome beast, The Kraken. Once Will retrieves said key, Davy Jones is hot on his trail, now hunting down both Jack and Will. It is now, only a matter of time, before something happens. Hopefully the pirates can reach the chest and stop Davy Jones, before he reaches them and sends them all to a watery grave...
36|tt0383574|As they are getting married, swashbuckling former blacksmith Will Turner and Elizabeth Swan, daughter of Governor Weatherby Swann, are both arrested by Lord Cutler Beckett and are sentenced to death. Beckett makes a deal with Will for his freedom, Beckett wants Will to find his old friend, pirate Captain Jack Sparrow and give him Jacks magic compass. Agreeing, Will tracks down Jack and finds him and his crew of The Black Pearl on a tribal island inhabited by cannibalistic tribal warriors. Jack makes a deal with Will and he will only give Will his compass, if Will agrees to help him find a key to a chest containing the heart of the octopus like Davy Jones, captain of The Flying Dutchman, so he may free his soul from eternal servitude. Pursued by Davy Jones and his crew of undead warriors and his creature that lives in the sea The Kraken, Will and Elizabeth go in aid of Jack as they set out to get to the chest first before Davy Jones does, which could spell doom for Jack and his companions and Will must succeed in giving Lord Beckett, the compass, as Beckett plots to put a end to the pirates forever.
37|tt0110357|A lion prince, Simba, is born in Africa and the animals of the Pride Lands pay tribute. Later Simba is told by his father, King Mufasa, that when Mufasa dies, Simba will become King of the Pride Lands. Simbas Uncle Scar would have been king after Mufasa had Mufasa not had a child. Fuelled by rage, Scar plots to kill Mufasa and Simba so he is able to take over the throne. He uses the hyenas to cause a stampede through the canyon where Mufasa and Simba are, and personally ensures Mufasa falls to his death. Simba survives so Scar implies that the stampede was Simbas fault and that the pride will blame him. Simba flees the Pride Lands meaning never to return home. Simba is found, collapsed with exhaustion, by Timon the Meerkat, and Pumbaa the Warthog, and the trio become fast friends. Simba stays with them well into adulthood until his childhood friend, Nala, hunting beyond the Pride Lands that herds had deserted under Scars mismanagement stumbles upon Simbas new home. Astonished to find him alive, she begs him to return to the Pride Lands, where Scar has reigned as King for years, and ruined everything. All of the animals will starve if Simba does not return. Simba eventually agrees to fight for his kingdom. Simba battles Scar, and learns his fathers death was Scars fault, not his own. Simba prevails and takes his fathers place as rightful king, mirroring The Circle of Life.
38|tt0110357|A young lion prince is born in Africa, thus making his uncle Scar the second in line to the throne. Scar plots with the hyenas to kill King Mufasa and Prince Simba, thus making himself King. The King is killed and Simba is led to believe by Scar that it was his fault, and so flees the kingdom in shame. After years of exile he is persuaded to return home to overthrow the usurper and claim the kingdom as his own thus completing the Circle of Life.
39|tt0435761|Woody, Buzz and the whole gang are back. As their owner Andy prepares to depart for college, his loyal toys find themselves in daycare where untamed tots with their sticky little fingers do not play nice. So, its all for one and one for all as they join Barbies counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o-Huggin Bear to plan their great escape.
40|tt0435761|Andy is now 17 and ready to head off to college, leaving Woody, Buzz, Jessie, and the rest of the toy-box gang to ponder their uncertain futures. When the toys are accidentally donated to the Sunnyside Daycare center theyre initially overjoyed to once again be played with, but their enthusiasm quickly gives way to horror as they discover the true nature of the establishment under the rule of the deceptively welcoming Lotso Bear. Now, all of the toys must band together in one final, crazy scheme to escape their confines and return home to Andy.
41|tt0435761|Andy is now seventeen years old and is going to college. His mother presses him to decide the fate of his toys, and Andy decides to leave them in the attic, with the exception of Woody that he intends to bring with him. However Andys mother donates them by accident to the Sunnyside Daycare. The toys are welcomed by Lotso Bear but sooner they discover that the children mistreat them. Further, they are imprisoned in the daycare by Lotso and his gang. But Woody discovers the intention of the evil bear and returns to the daycare to organize the escape of his friends.
42|tt1392170|In a dystopian future, the totalitarian nation of Panem is divided between 12 districts and the Capitol. Each year two young representatives from each district are selected by lottery to participate in The Hunger Games. Part entertainment, part brutal retribution for a past rebellion, the televised games are broadcast throughout Panem. The 24 participants are forced to eliminate their competitors while the citizens of Panem are required to watch. When 16-year-old Katnisss young sister, Prim, is selected as District 12s female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives.
43|tt1392170|Set in a future North America known as Panem, the Capitol selects a boy and a girl between the ages of 12 and 18 from each of the twelve outlying districts to compete in the annual Hunger Games, a televised fight-to-the-death. The film is centered around Katniss Everdeen - a 16-year-old girl from District 12, who volunteers for her 12-year-old sister, Prim, when Prims name is chosen - and Katnisss fellow District 12 tribute, Peeta Mellark, whom she has some rather dramatic history with. Katniss is then rushed to the Capitol, where she undergoes intense training, before being thrust into the arena to fight to become the victor of the seventy-fourth annual Hunger Games.
44|tt1392170|In order to control future rebellions remembering the past rebellion, the Powers That Be of the dystopian society of Panem force two youngsters from each of the twelve districts to participate in The Hunger Games. The rules are very simple: the twenty-four players must kill each other and survive in the wilderness until only one wins by surviving. The games are broadcast through the Capital and the twelve districts to entertain and intimidate the population. In District 12, the teenager Katniss Everdeen is a great hunter and archer. When her younger sister Primrose Everdeen is selected as one of the representatives of their district, Katniss volunteers to take her place in the games. Together with Peeta Mellark, they head by train to the Capital to be trained for the brutal game.
45|tt1300854|Marvels Iron Man 3 pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemys hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?
46|tt1300854|The events of Lokis attack on New York City has left Tony Stark a completely changed man. Now saddled with a severe case of insomnia and post traumatic stress disorder, Tony spends his sleepless nights the only way he knows how - coming up with new prototypes for the Iron Man suit. But now new events require that Tony suit up again. A villainous mad man known only as the Mandarin has staged a horrible attack on the Chinese Theater in Los Angeles, and is coming for Tony. An angry Tony wants to confront the Mandarin face to face, who proceeds to stage an attack on Tonys Malibu mansion and leaves him with absolutely nothing - no Pepper, no toys except for a defunct Iron Man prototype called the MK42, and hes stranded in the middle of Tennessee. Tony believes the attack on the Chinese Theater and an attack on a small town in Tennessee are related. As he puts the pieces together and tries to get the MK42 working, he discovers far more sinister forces at work greater than the Mandarin himself. But how does an event from Tonys past fit in with the events of the present?
47|tt0145487|Based on Marvel Comics superhero character, this is a story of Peter Parker who is a nerdy high-schooler. He was orphaned as a child, bullied by jocks, and cant confess his crush for his stunning neighborhood girl Mary Jane Watson. To say his life is miserable is an understatement. But one day while on an excursion to a laboratory a runaway radioactive spider bites him... and his life changes in a way no one could have imagined. Peter acquires a muscle-bound physique, clear vision, ability to cling to surfaces and crawl over walls, shooting webs from his wrist ... but the fun isnt going to last. An eccentric millionaire Norman Osborn administers a performance enhancing drug on himself and his maniacal alter ego Green Goblin emerges. Now Peter Parker has to become Spider-Man and take Green Goblin to the task... or else Goblin will kill him. They come face to face and the war begins in which only one of them will survive at the end.
48|tt0145487|On a school field trip, Peter Parker (Maguire) is bitten by a genetically modified spider. He wakes up the next morning with incredible powers. After witnessing the death of his uncle (Robertson), Parkers decides to put his new skills to use in order to rid the city of evil, but someone else has other plans. The Green Goblin (Dafoe) sees Spider-Man as a threat and must dispose of him. Even if it means the Goblin has to target Parkers Aunt (Harris) and the girl he secretly pines for (Dunst)
49|tt0145487|A rather odd thing has just occurred in the life of nerdy high school student Peter Parker: after being bitten by a genetically modified spider, his body chemistry is altered mutagenically. He can now scale walls and ceilings, he has superhuman strength and super-fast reflexes, and he develops a precognitive sense that warns him of approaching danger. Adopting the name Spider-Man, Peter first uses his newfound powers to make money, but after his uncle is murdered at the hands of a criminal Peter failed to stop, he swears to use his powers to fight the evil that killed his uncle. At the same time, scientist and businessman Norman Osborn, after exposure to an experimental nerve gas, develops an alternate personality himself: the super-strong, psychotic Green Goblin! Peter Parker must now juggle three things in his life: his new job at a local newspaper under a perpetually on-edge employer, his battle against the evil Green Goblin, and his fight to win the affections of beautiful classmate Mary Jane Watson, against none other than his best friend Harry Osborn, son of Norman Osborn! Is this challenge too much for even the Amazing Spider-Man to handle?
50|tt0107290|Huge advancements in scientific technology have enabled a mogul to create an island full of living dinosaurs. John Hammond has invited four individuals, along with his two grandchildren, to join him at Jurassic Park. But will everything go to plan? Especially when one of the parks own workers attempts to steal the dinosaur embryos, and has to shut down critical security systems in the process. Its now a race for survival with dangerous creatures roaming all over the island.
